Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
892,João Gomes,br BRA,MF,Wolves,eng Premier League,22-356,2001,15.5,35,2.26,2,0.13
893,Toti Gomes,pt POR,DF,Wolves,eng Premier League,25-018,1999,16.2,10,0.62,2,0.12
894,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,26-256,1997,12.1,31,2.56,3,0.25
895,Maxi Gómez,uy URU,FW,Cádiz,es La Liga,27-173,1996,7.8,11,1.4,1,0.13
896,Moi Gómez,es ESP,"MF,FW",Osasuna,es La Liga,29-225,1994,13.5,40,2.96,1,0.07
897,Papu Gómez,ar ARG,"MF,FW",Monza,it Serie A,35-353,1988,0.5,5,10.98,0,0
898,Sergio Gómez,es ESP,FW,Manchester City,eng Premier League,23-152,2000,0.2,2,9,2,9
899,Unai Gómez,es ESP,MF,Athletic Club,es La Liga,20-254,2003,2.9,9,3.05,2,0.68
900,Maxime Gonalons,fr FRA,MF,Clermont Foot,fr Ligue 1,34-330,1989,11.8,13,1.1,1,0.08
901,Édgar González,es ESP,DF,Almería,es La Liga,26-308,1997,16.1,12,0.74,0,0
902,Giovanni González,uy URU,DF,Mallorca,es La Liga,29-136,1994,15.9,30,1.88,2,0.13
903,Hugo González,es ESP,"MF,FW",Valencia,es La Liga,20-361,2003,0.6,4,6.67,1,1.67
904,Iñaki González,es ESP,MF,Las Palmas,es La Liga,19-191,2004,0.1,0,0,0,0
905,Joan Gonzàlez,es ESP,MF,Lecce,it Serie A,22-002,2002,9.9,43,4.36,5,0.51
906,Nicolás González,ar ARG,FW,Fiorentina,it Serie A,25-303,1998,10.8,32,2.96,2,0.18
907,Urko González,es ESP,"MF,DF",Real Sociedad,es La Liga,22-320,2001,1.5,0,0,0,0
908,Anthony Gordon,eng ENG,FW,Newcastle Utd,eng Premier League,22-344,2001,19.4,74,3.81,13,0.67
909,Kaide Gordon,eng ENG,FW,Liverpool,eng Premier League,19-121,2004,0,0,0,0,0
910,Daniel Gore,eng ENG,MF,Manchester Utd,eng Premier League,19-130,2004,0,0,0,0,0
911,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,28-362,1995,11.7,34,2.92,4,0.34
912,Andoni Gorosabel,es ESP,DF,Alavés,es La Liga,27-183,1996,20.7,36,1.74,1,0.05
913,Robin Gosens,de GER,"DF,MF",Union Berlin,de Bundesliga,29-213,1994,12.5,35,2.8,5,0.4
914,Mario Götze,de GER,MF,Eint Frankfurt,de Bundesliga,31-245,1992,11.5,36,3.13,4,0.35
915,Amine Gouiri,dz ALG,"FW,MF",Rennes,fr Ligue 1,23-352,2000,13.2,46,3.48,4,0.3
916,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,32-208,1991,15,20,1.33,1,0.07
917,Pablo Gozalbez,es ESP,"MF,FW",Valencia,es La Liga,22-279,2001,1.1,1,0.87,0,0
918,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,31-071,1992,14,17,1.22,1,0.07
919,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,35-134,1988,1,1,1,1,1
920,Samuel Grandsir,fr FRA,"FW,MF",Le Havre,fr Ligue 1,27-173,1996,4.4,19,4.32,2,0.45
921,Alberto Grassi,it ITA,MF,Empoli,it Serie A,28-333,1995,14.9,20,1.34,3,0.2
922,Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,21-263,2002,7.3,26,3.58,0,0
923,Ryan Gravenberch,nl NED,FW,Bayern Munich,de Bundesliga,21-263,2002,0.1,3,27,0,0
924,Adrian Grbić,at AUT,FW,Lorient,fr Ligue 1,27-183,1996,0.3,1,2.9,0,0
925,Ivo Grbić,hr CRO,GK,Sheffield Utd,eng Premier League,28-016,1996,0.6,0,0,0,0
926,Jack Grealish,eng ENG,FW,Manchester City,eng Premier League,28-146,1995,7.8,39,4.99,2,0.26
927,Mason Greenwood,eng ENG,"MF,FW",Getafe,es La Liga,22-125,2001,14.8,48,3.23,10,0.67
928,Michael Gregoritsch,at AUT,FW,Freiburg,de Bundesliga,29-291,1994,9.4,26,2.76,3,0.32
929,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,32-319,1991,19.6,78,3.98,11,0.56
930,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,de Bundesliga,30-302,1993,14.8,63,4.24,8,0.54
931,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,de Bundesliga,28-180,1995,11.6,34,2.94,4,0.35
932,Álex Grimaldo,es ESP,DF,Leverkusen,de Bundesliga,28-136,1995,18.9,65,3.44,15,0.79
933,Christian Groß,de GER,"MF,DF",Werder Bremen,de Bundesliga,34-360,1989,5.1,3,0.58,1,0.19
934,Pascal Groß,de GER,"MF,DF",Brighton,eng Premier League,32-233,1991,19.2,94,4.88,8,0.42
935,Brajan Gruda,de GER,"MF,FW",Mainz 05,de Bundesliga,19-248,2004,9.2,54,5.86,1,0.11
936,Ilia Gruev,bg BUL,MF,Werder Bremen,de Bundesliga,23-273,2000,0,0,0,0,0
937,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,37-024,1987,12.7,4,0.31,1,0.08
938,Andrés Guardado,mx MEX,MF,Betis,es La Liga,37-128,1986,5,15,3.02,0,0
939,Sergi Guardiola,es ESP,"FW,MF",Cádiz,es La Liga,32-250,1991,3.2,5,1.58,0,0
940,Nemanja Gudelj,rs SRB,DF,Sevilla,es La Liga,32-079,1991,15.3,15,0.98,1,0.07
941,Gabriel Gudmundsson,se SWE,"DF,FW",Lille,fr Ligue 1,24-280,1999,7.6,7,0.91,0,0
942,Gonçalo Guedes,pt POR,MF,Villarreal,es La Liga,27-066,1996,0.6,3,5,1,1.67
943,Axel Gueguin,fr FRA,"DF,FW",Montpellier,fr Ligue 1,18-316,2005,1.3,2,1.54,0,0
944,Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,23-205,2000,20.9,18,0.86,2,0.1
945,Mattéo Guendouzi,fr FRA,MF,Lazio,it Serie A,24-295,1999,14.8,26,1.76,0,0
946,Mattéo Guendouzi,fr FRA,MF,Marseille,fr Ligue 1,24-295,1999,0.2,2,9.47,0,0
947,Javier Guerra,es ESP,"MF,FW",Valencia,es La Liga,21-033,2003,15.9,31,1.95,1,0.06
948,Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,de Bundesliga,30-043,1993,6.9,23,3.33,4,0.58
949,Axel Guessand,fr FRA,DF,Udinese,it Serie A,19-089,2004,0.5,0,0,0,0
950,Evann Guessand,fr FRA,FW,Nice,fr Ligue 1,22-217,2001,8.4,24,2.84,3,0.36
951,Ander Guevara,es ESP,MF,Alavés,es La Liga,26-211,1997,20.4,52,2.54,3,0.15
952,Pape Gueye,sn SEN,MF,Marseille,fr Ligue 1,25-010,1999,0.3,0,0,0,0
953,Josuha Guilavogui,fr FRA,DF,Mainz 05,de Bundesliga,33-137,1990,0.3,0,0,0,0
954,Morgan Guilavogui,gn GUI,"FW,MF",Lens,fr Ligue 1,25-330,1998,5.4,23,4.24,4,0.74
955,Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,29-041,1994,14.7,22,1.49,1,0.07
956,Hugo Guillamón,es ESP,MF,Valencia,es La Liga,24-003,2000,7.8,10,1.29,0,0
957,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,26-079,1997,20.6,61,2.96,8,0.39
958,Serhou Guirassy,gn GUI,FW,Stuttgart,de Bundesliga,27-328,1996,11.7,43,3.67,8,0.68
959,Marc Guiu,es ESP,MF,Barcelona,es La Liga,18-030,2006,0.1,0,0,0,0
960,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,32-356,1991,9.9,9,0.91,0,0
961,Arda Güler,tr TUR,FW,Real Madrid,es La Liga,18-343,2005,0.1,0,0,0,0
962,Gerard Gumbau,es ESP,MF,Granada,es La Liga,29-047,1994,17.6,50,2.84,7,0.4
963,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,25-244,1998,5.2,11,2.13,3,0.58
964,İlkay Gündoğan,de GER,MF,Barcelona,es La Liga,33-102,1990,20.4,100,4.9,7,0.34
965,Christian Günter,de GER,DF,Freiburg,de Bundesliga,30-340,1993,1,5,5.06,0,0
966,Jon Guridi,es ESP,"MF,FW",Alavés,es La Liga,28-340,1995,17.5,45,2.57,7,0.4
967,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,27-144,1996,17.2,38,2.21,4,0.23
968,Malo Gusto,fr FRA,DF,Chelsea,eng Premier League,20-260,2003,10.4,18,1.73,4,0.39
969,Miguel Gutiérrez,es ESP,"DF,MF",Girona,es La Liga,22-191,2001,20.7,43,2.08,6,0.29
970,Albert Guðmundsson,is ISL,"FW,MF",Genoa,it Serie A,26-233,1997,19.9,89,4.46,9,0.45
971,Joško Gvardiol,hr CRO,DF,Manchester City,eng Premier League,22-011,2002,15.4,24,1.56,0,0
972,Emmanuel Gyasi,gh GHA,"FW,MF",Empoli,it Serie A,30-023,1994,8,18,2.24,1,0.12
973,Norbert Gyömbér,sk SVK,DF,Salernitana,it Serie A,31-215,1992,17,7,0.41,1,0.06
974,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,23-197,2000,14.6,28,1.92,6,0.41
975,Nicolas Haas,ch SUI,MF,Empoli,it Serie A,28-011,1996,1,3,3,0,0
976,Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,29-307,1994,10.5,20,1.9,1,0.1
977,Robin Hack,de GER,"FW,MF",M'Gladbach,de Bundesliga,25-160,1998,6.1,17,2.78,2,0.33
978,Antwoine Hackford,eng ENG,FW,Sheffield Utd,eng Premier League,19-320,2004,0.1,0,0,0,0
979,Munir El Haddadi,ma MAR,FW,Las Palmas,es La Liga,28-155,1995,18.3,42,2.29,3,0.16
980,Jaouen Hadjam,dz ALG,DF,Nantes,fr Ligue 1,20-314,2003,1.2,7,5.53,0,0
981,Ianis Hagi,ro ROU,"MF,FW",Alavés,es La Liga,25-104,1998,6.2,37,5.99,1,0.16
982,Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,26-003,1998,7.1,24,3.39,2,0.28
983,Massadio Haïdara,ml MLI,DF,Lens,fr Ligue 1,31-063,1992,6.2,3,0.48,0,0
984,Oualid El Hajjam,ma MAR,"DF,MF",Le Havre,fr Ligue 1,32-349,1991,1.2,4,3.27,0,0
985,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,25-091,1998,13,50,3.84,10,0.77
986,Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,19-148,2004,1.2,2,1.61,0,0
987,Sébastien Haller,ci CIV,FW,Dortmund,de Bundesliga,29-226,1994,4,10,2.53,0,0
988,Gustavo Hamer,nl NED,MF,Sheffield Utd,eng Premier League,26-224,1997,17.9,59,3.3,6,0.34
989,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,27-017,1997,0.7,0,0,0,0
990,Ridgeciano Haps,sr SUR,"DF,FW",Genoa,it Serie A,30-236,1993,6.4,5,0.79,1,0.16
991,Genki Haraguchi,jp JPN,MF,Stuttgart,de Bundesliga,32-270,1991,0.2,0,0,0,0
992,Amine Harit,ma MAR,"MF,FW",Marseille,fr Ligue 1,26-230,1997,10.6,50,4.73,4,0.38
993,Luke Harris,wls WAL,MF,Fulham,eng Premier League,18-306,2005,0.8,0,0,0,0
994,Jack Harrison,eng ENG,"MF,FW",Everton,eng Premier League,27-075,1996,14.4,42,2.92,5,0.35
995,Abdou Harroui,nl NED,MF,Frosinone,it Serie A,26-021,1998,6.7,22,3.27,1,0.15
996,Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,de Bundesliga,40-016,1984,0.4,1,2.43,0,0
997,Hans Hateboer,nl NED,DF,Atalanta,it Serie A,30-025,1994,5,17,3.38,2,0.4
998,Pantelis Hatzidiakos,gr GRE,DF,Cagliari,it Serie A,27-016,1997,7.1,5,0.71,0,0
999,Kai Havertz,de GER,MF,Arsenal,eng Premier League,24-237,1999,14,32,2.28,3,0.21
1000,Thorgan Hazard,be BEL,DF,Dortmund,de Bundesliga,30-311,1993,0.1,0,0,0,0
1001,Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,23-240,2000,15.3,19,1.24,2,0.13
1002,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,eng Premier League,28-008,1996,16.1,34,2.11,9,0.56
1003,Silvan Hefti,ch SUI,"MF,DF",Genoa,it Serie A,26-101,1997,1.3,0,0,0,0
1004,Silvan Hefti,ch SUI,DF,Montpellier,fr Ligue 1,26-101,1997,2,3,1.5,0,0
1005,Dominique Heintz,de GER,DF,Köln,de Bundesliga,30-172,1993,4.6,8,1.76,0,0
1006,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,26-328,1997,6,0,0,0,0
1007,Liam Henderson,sct SCO,MF,Empoli,it Serie A,27-284,1996,0.1,0,0,0,0
1008,Benjamin Henrichs,de GER,DF,RB Leipzig,de Bundesliga,26-345,1997,15.3,54,3.52,5,0.33
1009,Henrique,br BRA,DF,Lyon,fr Ligue 1,29-284,1994,3.7,7,1.87,1,0.27
1010,Luis Henrique,br BRA,FW,Marseille,fr Ligue 1,22-051,2001,1,5,5,0,0
1011,Luiz Henrique,br BRA,FW,Betis,es La Liga,23-032,2001,6.8,30,4.38,5,0.73
1012,Matheus Henrique,br BRA,MF,Sassuolo,it Serie A,26-046,1997,15.9,46,2.89,3,0.19
1013,Rico Henry,eng ENG,DF,Brentford,eng Premier League,26-210,1997,4.5,13,2.92,3,0.67
1014,Thomas Henry,fr FRA,"FW,MF",Hellas Verona,it Serie A,29-136,1994,2.5,4,1.6,0,0
1015,Christophe Hérelle,mq MTQ,DF,Metz,fr Ligue 1,31-165,1992,10,8,0.8,1,0.1
1016,Mario Hermoso,es ESP,DF,Atlético Madrid,es La Liga,28-230,1995,18.6,30,1.62,5,0.27
1017,Javi Hernández,es ESP,DF,Cádiz,es La Liga,25-277,1998,16.5,31,1.87,3,0.18
1018,Aridane Hernández,es ESP,DF,Rayo Vallecano,es La Liga,34-317,1989,12.8,8,0.63,0,0
1019,Lucas Hernández,fr FRA,DF,Paris S-G,fr Ligue 1,27-354,1996,14.8,19,1.27,3,0.2
1020,Luis Hernández,es ESP,DF,Cádiz,es La Liga,34-295,1989,8,17,2.12,0,0
1021,Theo Hernández,fr FRA,DF,Milan,it Serie A,26-120,1997,18.9,67,3.55,8,0.42
1022,Yarek Hernandis,es ESP,DF,Valencia,es La Liga,19-022,2005,3.2,,,,
1023,Jorge Herrando,es ESP,DF,Osasuna,es La Liga,22-340,2001,3.4,0,0,0,0
1024,Ander Herrera,es ESP,MF,Athletic Club,es La Liga,34-173,1989,8.5,16,1.89,2,0.24
1025,Cristian Herrera,es ESP,FW,Las Palmas,es La Liga,32-327,1991,1.4,2,1.43,0,0
1026,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,30-243,1993,17.9,5,0.28,0,0
1027,Yangel Herrera,ve VEN,MF,Girona,es La Liga,26-020,1998,13.9,29,2.1,3,0.22
1028,Patrick Herrmann,de GER,"DF,FW",M'Gladbach,de Bundesliga,32-356,1991,0.5,2,4.09,1,2.05
1029,Juan Herzog,es ESP,DF,Las Palmas,es La Liga,20-266,2003,2.2,0,0,0,0
1030,Son Heung-min,kr KOR,FW,Tottenham,eng Premier League,31-210,1992,18.8,72,3.84,10,0.53
1031,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21-238,2002,7.9,7,0.88,0,0
1032,Isak Hien,se SWE,DF,Hellas Verona,it Serie A,25-021,1999,9.6,3,0.31,0,0
1033,Isak Hien,se SWE,DF,Atalanta,it Serie A,25-021,1999,0.5,0,0,0,0
1034,James Hill,eng ENG,DF,Bournemouth,eng Premier League,22-024,2002,0.8,1,1.29,0,0
1035,Piero Hincapié,ec ECU,DF,Leverkusen,de Bundesliga,22-025,2002,6.3,10,1.59,2,0.32
1036,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,eng Premier League,18-298,2005,8.7,14,1.62,0,0
1037,Adam Hložek,cz CZE,"FW,MF",Leverkusen,de Bundesliga,21-193,2002,1.8,9,4.97,0,0
1038,Nicolas Höfler,de GER,MF,Freiburg,de Bundesliga,33-331,1990,12.2,19,1.56,1,0.08
1039,Jonas Hofmann,de GER,MF,Leverkusen,de Bundesliga,31-204,1992,17.1,103,6.05,13,0.76
1040,Philipp Hofmann,de GER,FW,Bochum,de Bundesliga,30-310,1993,9.1,22,2.43,3,0.33
1041,Lucas Höler,de GER,"FW,MF",Freiburg,de Bundesliga,29-208,1994,15,38,2.53,3,0.2
1042,Fabian Holland,de GER,"MF,DF",Darmstadt 98,de Bundesliga,33-207,1990,14,32,2.29,4,0.29
1043,Benedict Hollerbach,de GER,"FW,MF",Union Berlin,de Bundesliga,22-262,2001,5.5,19,3.48,1,0.18
1044,Emil Holm,se SWE,DF,Atalanta,it Serie A,23-266,2000,4.8,8,1.67,2,0.42
1045,Gerrit Holtmann,ph PHI,FW,Darmstadt 98,de Bundesliga,28-315,1995,0.2,2,9.47,0,0
1046,Martin Hongla,cm CMR,MF,Hellas Verona,it Serie A,25-324,1998,12,19,1.58,0,0
1047,Martin Hongla,cm CMR,MF,Granada,es La Liga,25-324,1998,0,0,0,0,0
1048,Franck Honorat,fr FRA,"DF,FW",M'Gladbach,de Bundesliga,27-176,1996,16.4,74,4.5,9,0.55
1049,Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,de Bundesliga,27-045,1996,6.6,10,1.51,1,0.15
1050,Sydney van Hooijdonk,nl NED,FW,Bologna,it Serie A,23-362,2000,2.4,2,0.85,0,0
1051,Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,de Bundesliga,24-143,1999,2.4,8,3.3,0,0
1052,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,34-071,1989,18,1,0.06,1,0.06
1053,Timo Hübers,de GER,DF,Köln,de Bundesliga,27-198,1996,18.9,11,0.58,0,0
1054,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,eng Premier League,23-088,2000,6.7,26,3.9,2,0.3
1055,Will Hughes,eng ENG,MF,Crystal Palace,eng Premier League,28-292,1995,12.5,28,2.24,2,0.16
1056,Dean Huijsen,nl NED,DF,Roma,it Serie A,18-295,2005,1.7,1,0.6,1,0.6
1057,Dean Huijsen,nl NED,DF,Juventus,it Serie A,18-295,2005,0.1,0,0,0,0
1058,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,35-049,1988,11.1,14,1.26,2,0.18
1059,Denis Huseinbasic,de GER,MF,Köln,de Bundesliga,22-215,2001,8.1,13,1.6,1,0.12
1060,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,29-348,1994,5.6,7,1.26,1,0.18
1061,Pierre Højbjerg,dk DEN,MF,Tottenham,eng Premier League,28-182,1995,9.7,22,2.26,2,0.21
1062,Rasmus Højlund,dk DEN,FW,Manchester Utd,eng Premier League,20-364,2003,13.4,32,2.39,2,0.15
1063,Iago,br BRA,"DF,FW",Augsburg,de Bundesliga,26-317,1997,8.5,19,2.22,2,0.23
1064,Pablo Ibáñez,es ESP,MF,Osasuna,es La Liga,25-136,1998,6.2,18,2.89,3,0.48
1065,Arijon Ibrahimović,de GER,"FW,DF",Frosinone,it Serie A,18-054,2005,4.7,14,2.98,1,0.21
1066,Iglesias,es ESP,"DF,FW",Getafe,es La Liga,25-215,1998,9.9,18,1.82,2,0.2
1067,Borja Iglesias,es ESP,FW,Betis,es La Liga,31-017,1993,4.5,20,4.42,1,0.22
1068,Igor,br BRA,DF,Brighton,eng Premier League,25-361,1998,8.8,14,1.59,2,0.23
1069,Jonathan Ikone,fr FRA,FW,Fiorentina,it Serie A,25-277,1998,10.5,20,1.91,2,0.19
1070,Chukwubuikem Ikwuemesi,ng NGA,"FW,DF",Salernitana,it Serie A,22-182,2001,6.8,10,1.46,1,0.15
1071,Ivan Ilić,rs SRB,MF,Torino,it Serie A,22-323,2001,14.7,46,3.13,4,0.27
1072,Samuel Iling-Junior,eng ENG,"DF,FW",Juventus,it Serie A,20-122,2003,3,9,2.98,3,0.99
1073,Imanol,es ESP,DF,Athletic Club,es La Liga,23-240,2000,2.9,2,0.7,0,0
1074,Ciro Immobile,it ITA,FW,Lazio,it Serie A,33-348,1990,11,21,1.9,1,0.09
1075,Gino Infantino,ar ARG,MF,Fiorentina,it Serie A,20-260,2003,0.9,3,3.25,0,0
1076,Danny Ings,eng ENG,FW,West Ham,eng Premier League,31-195,1992,2.8,13,4.61,3,1.06
1077,Bonke Innocent,ng NGA,MF,Lorient,fr Ligue 1,28-014,1996,2.3,2,0.86,0,0
1078,Tim Iroegbunam,eng ENG,MF,Aston Villa,eng Premier League,20-218,2003,0.1,0,0,0,0
1079,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,24-135,1999,13.1,34,2.59,2,0.15
1080,Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,22-290,2001,5.8,18,3.11,2,0.35
1081,Isco,es ESP,MF,Betis,es La Liga,31-288,1992,19.6,115,5.86,10,0.51
1082,Thomas Isherwood,se SWE,DF,Darmstadt 98,de Bundesliga,26-006,1998,3.6,1,0.28,0,0
1083,Ismaily,br BRA,DF,Lille,fr Ligue 1,34-023,1990,15.2,17,1.12,1,0.07
1084,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,27-126,1996,13.3,7,0.53,0,0
1085,Ko Itakura,jp JPN,DF,M'Gladbach,de Bundesliga,27-007,1997,6.8,3,0.44,1,0.15
1086,Hiroki Ito,jp JPN,DF,Stuttgart,de Bundesliga,24-267,1999,10.9,28,2.57,6,0.55
1087,Junya Ito,jp JPN,FW,Reims,fr Ligue 1,30-331,1993,16.8,69,4.1,7,0.42
1088,Alex Iwobi,ng NGA,MF,Everton,eng Premier League,27-276,1996,1.6,12,7.77,0,0
1089,Alex Iwobi,ng NGA,"FW,MF",Fulham,eng Premier League,27-276,1996,12.3,45,3.66,7,0.57
1090,Armando Izzo,it ITA,DF,Monza,it Serie A,31-338,1992,5.2,5,0.96,1,0.19
1091,Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,22-228,2001,16.1,48,2.98,6,0.37
1092,Jérémy Jacquet,fr FRA,MF,Rennes,fr Ligue 1,18-205,2005,0.1,0,0,0,0
1093,Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,31-177,1992,12.4,29,2.33,1,0.08
1094,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,25-196,1998,2.4,1,0.41,0,0
1095,Filip Jagiełło,pl POL,MF,Genoa,it Serie A,26-179,1997,0.4,1,2.73,0,0
1096,Kristijan Jakić,hr CRO,MF,Augsburg,de Bundesliga,26-265,1997,1.3,2,1.49,1,0.74
1097,Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,de Bundesliga,26-265,1997,2.2,2,0.9,0,0
1098,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,24-170,1999,10.9,33,3.03,5,0.46
1099,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,25-081,1998,7.8,23,2.95,5,0.64
1100,Reece James,eng ENG,DF,Chelsea,eng Premier League,24-057,1999,4.3,14,3.25,2,0.46
1101,Vitaly Janelt,de GER,"MF,DF",Brentford,eng Premier League,25-269,1998,19.1,48,2.51,2,0.1
1102,Jakub Jankto,cz CZE,"MF,FW",Cagliari,it Serie A,28-015,1996,5.8,18,3.11,4,0.69
1103,Tony Jantschke,de GER,"DF,MF",M'Gladbach,de Bundesliga,33-302,1990,0.2,0,0,0,0
1104,Adnan Januzaj,be BEL,"FW,MF",Sevilla,es La Liga,28-363,1995,2.1,6,2.81,0,0
1105,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,20-083,2003,0.7,,,,
1106,Luis Javier Suárez,co COL,"FW,MF",Almería,es La Liga,26-063,1997,8,20,2.51,3,0.38
1107,Danley Jean-Jacques,ht HAI,MF,Metz,fr Ligue 1,23-259,2000,17.2,28,1.63,0,0
1108,Jeffinho,br BRA,"FW,MF",Lyon,fr Ligue 1,24-035,1999,3.4,17,4.98,3,0.88
1109,Fredrik Jensen,fi FIN,"FW,MF",Augsburg,de Bundesliga,26-147,1997,9.7,39,4.01,6,0.62
1110,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,28-033,1996,12.6,51,4.04,6,0.48
1111,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,24-279,1999,11.5,10,0.87,1,0.09
1112,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,26-306,1997,12.1,42,3.46,6,0.49
1113,Juan Jesus,br BRA,DF,Napoli,it Serie A,32-238,1991,11.5,3,0.26,0,0
1114,Alejandro Jiménez,es ESP,DF,Milan,it Serie A,18-271,2005,0.6,2,3.1,0,0
1115,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,32-274,1991,13.8,24,1.74,3,0.22
1116,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,22-130,2001,14.5,57,3.94,8,0.55
1117,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,27-173,1996,12.6,39,3.1,3,0.24
1118,Ryan John Giles,eng ENG,"DF,MF",Luton Town,eng Premier League,24-008,2000,5.6,12,2.15,0,0
1119,Ben Johnson,eng ENG,"DF,MF",West Ham,eng Premier League,24-010,2000,2.2,4,1.78,1,0.45
1120,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,22-256,2001,10.8,35,3.25,6,0.56
1121,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,eng Premier League,22-256,2001,2.6,7,2.66,3,1.14
1122,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30-315,1993,16,1,0.06,0,0
1123,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,23-004,2001,8.3,23,2.79,2,0.24
1124,Frenkie de Jong,nl NED,"MF,DF",Barcelona,es La Liga,26-267,1997,13.4,45,3.36,5,0.37
1125,Joan Jordán,es ESP,MF,Sevilla,es La Liga,29-212,1994,3.8,10,2.62,0,0
1126,Jordi,es ESP,MF,Getafe,es La Liga,23-029,2001,2.8,7,2.5,1,0.36
1127,Kaio Jorge,br BRA,FW,Frosinone,it Serie A,22-010,2002,5.8,12,2.08,1,0.17
1128,Jorginho,it ITA,MF,Arsenal,eng Premier League,32-045,1991,4.5,9,2,1,0.22
1129,Willian José,br BRA,FW,Betis,es La Liga,32-072,1991,11.8,20,1.69,2,0.17
1130,Joselu,es ESP,FW,Real Madrid,es La Liga,33-313,1990,11.6,23,1.98,4,0.35
1131,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,27-061,1996,9.2,36,3.93,11,1.2
1132,Antoine Joujou,fr FRA,"MF,FW",Le Havre,fr Ligue 1,20-328,2003,5.4,22,4.07,5,0.93
1133,Luka Jović,rs SRB,FW,Milan,it Serie A,26-042,1997,5.6,10,1.77,2,0.35
1134,Juanpe,es ESP,DF,Girona,es La Liga,32-279,1991,3.4,1,0.29,0,0
1135,Mads Juel Andersen,dk DEN,DF,Luton Town,eng Premier League,26-038,1997,4.4,0,0,0,0
1136,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,30-318,1993,7.9,5,0.63,0,0
1137,Anthony Jung,de GER,"DF,FW",Werder Bremen,de Bundesliga,32-092,1991,16.4,20,1.22,1,0.06
1138,Eli Junior Kroupi,fr FRA,FW,Lorient,fr Ligue 1,17-225,2006,9.6,15,1.56,3,0.31
1139,Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,23-352,2000,0.5,4,7.66,0,0
1140,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,23-206,2000,11.3,47,4.16,4,0.35
